filename,size_bytes,size_gb,url,checksum,dataset_base,name,context,priority_score,include_candidate,perturbation_column_candidates,control_label_candidates,perturbation_column_override,control_label_override
DixitRegev2016_K562_TFs_13_days.h5ad,121166672,0.121166672,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_13_days.h5ad/content,md5:b594d224cf17b268cd7e02efc976cea7,DixitRegev2016_K562_TFs_13_days,DixitRegev2016_K562_TFs_13_days,K562_hematopoietic,50,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
SrivatsanTrapnell2020_sciplex2.h5ad,145178504,0.145178504,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex2.h5ad/content,md5:12a48293a166a859f994551653a2ad8c,SrivatsanTrapnell2020_sciplex2,SrivatsanTrapnell2020_sciplex2,drug_cancer_response,50,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
SrivatsanTrapnell2020_sciplex4.h5ad,253335945,0.253335945,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex4.h5ad/content,md5:9335b581baba2df02ecf92eed4b56ad7,SrivatsanTrapnell2020_sciplex4,SrivatsanTrapnell2020_sciplex4,drug_cancer_response,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
DixitRegev2016_K562_TFs_7_days.h5ad,256685252,0.256685252,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_7_days.h5ad/content,md5:b4fb773a3b3857a8ee471d6d2f5221e0,DixitRegev2016_K562_TFs_7_days,DixitRegev2016_K562_TFs_7_days,K562_hematopoietic,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
TianKampmann2019_day7neuron.h5ad,268921535,0.268921535,https://zenodo.org/api/records/13350497/files/TianKampmann2019_day7neuron.h5ad/content,md5:74074e99e8e7c5a6297b6a684b72d754,TianKampmann2019_day7neuron,TianKampmann2019_day7neuron,iPSC_neuron,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
DixitRegev2016_K562_TFs_High_MOI.h5ad,319735470,0.31973547,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_High_MOI.h5ad/content,md5:b77c2249b7069b16f91f7384a88c39b1,DixitRegev2016_K562_TFs_High_MOI,DixitRegev2016_K562_TFs_High_MOI,K562_hematopoietic,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
TianKampmann2019_iPSC.h5ad,350848489,0.350848489,https://zenodo.org/api/records/13350497/files/TianKampmann2019_iPSC.h5ad/content,md5:8279484264b513fd0419dacdc639ecef,TianKampmann2019_iPSC,TianKampmann2019_iPSC,iPSC_neuron,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
NadigOConner2024_hepg2.h5ad,850590740,0.85059074,https://zenodo.org/api/records/13350497/files/NadigOConner2024_hepg2.h5ad/content,md5:af2be47f7477cf32fa6e4bec1c6a4868,NadigOConner2024_hepg2,NadigOConner2024_hepg2,epithelial_cancer,45,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
DatlingerBock2021.h5ad,33600780,0.03360078,https://zenodo.org/api/records/13350497/files/DatlingerBock2021.h5ad/content,md5:5cfbcb4770e9c859a07b2cc44fd12066,DatlingerBock2021,DatlingerBock2021,T_cell_immune,40,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,,
AdamsonWeissman2016_GSM2406675_10X001.h5ad,34557246,0.034557246,https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad/content,md5:232f7e3756d41602bbe434b50662a76f,AdamsonWeissman2016_GSM2406675_10X001,AdamsonWeissman2016_GSM2406675_10X001,K562_hematopoietic,40,True,perturbation|condition|target|target_gene|gene|guide_id|guide|gRNA|sgRNA|cov_drug_dose_name,control|ctrl|non-targeting|non-target|nontargeting|NTC|ntc|vehicle|DMSO|dmso|mock|empty|safe|intergenic|3x_neg_ctrl_pMJ144-1|3x_neg_ctrl_pMJ144-2,perturbation,3x_neg_ctrl_pMJ144-1
